date;parc;usage;revenu;service;operateur
31/01/2013;20848669;;79352825;Global;RD Congo
28/02/2013;20847964;;73006994;Global;RD Congo
31/03/2013;21307773;;78931994;Global;RD Congo
30/04/2013;21696607;;76783225;Global;RD Congo
31/05/2013;21885502;;81048076;Global;RD Congo
30/06/2013;22168537;;81879043;Global;RD Congo
31/07/2013;26129383;;91600341;Global;RD Congo
31/08/2013;27270902;;89873494;Global;RD Congo
30/09/2013;27895373;;87368961;Global;RD Congo
31/10/2013;28744739;;89453040;Global;RD Congo
30/11/2013;29167673;;84886458;Global;RD Congo
31/12/2013;29778949;;93019474;Global;RD Congo
31/01/2014;28949863;;86154399;Global;RD Congo
28/02/2014;29036564;;74481400;Global;RD Congo
31/03/2014;29811686;;81677451;Global;RD Congo
30/04/2014;30424476;;78733575;Global;RD Congo
31/05/2014;31251645;;81900430;Global;RD Congo
30/06/2014;32199696;;80202279;Global;RD Congo
31/07/2014;32936959;;87237269;Global;RD Congo
31/08/2014;33589445;;87306858;Global;RD Congo
30/09/2014;34377947;;83972749;Global;RD Congo
31/10/2014;35274618;;82749552;Global;RD Congo
30/11/2014;36099715;;79064387;Global;RD Congo
31/12/2014;37102958;;83552480;Global;RD Congo
31/01/2015;37299017;;81122963;Global;RD Congo
28/02/2015;36568748;;75163557;Global;RD Congo
31/03/2015;35514769;;88345236;Global;RD Congo
30/04/2015;34866846;;86486128;Global;RD Congo
31/05/2015;36851674;;92585676;Global;RD Congo
30/06/2015;37374103;;92640686;Global;RD Congo
31/07/2015;38035444;;100803816;Global;RD Congo
31/08/2015;38876059;;99754238;Global;RD Congo
30/09/2015;39746740;;97396692;Global;RD Congo
31/10/2015;39076347;;91833526;Global;RD Congo
30/11/2015;37794788;;86736296;Global;RD Congo
31/12/2015;37752782;;93199532;Global;RD Congo
31/01/2016;35844717;;90863461;Global;RD Congo
29/02/2016;34098497;;88891776;Global;RD Congo
31/03/2016;29311021;;100619756;Global;RD Congo
30/04/2016;27525012;;88854393;Global;RD Congo
31/05/2016;27178853;;91479901;Global;RD Congo
30/06/2016;27294452;;102244657;Global;RD Congo
31/07/2016;27281107;;100738229;Global;RD Congo
31/08/2016;28000500;;97233743;Global;RD Congo
30/09/2016;28335503;;101714937;Global;RD Congo
31/10/2016;28337599;;95608600;Global;RD Congo
30/11/2016;28585598;;90411753;Global;RD Congo
31/12/2016;28889317;;100146797;Global;RD Congo
31/01/2017;29278794;;93910974;Global;RD Congo
28/02/2017;29678734;;87781693;Global;RD Congo
31/03/2017;30098991;;98690352;Global;RD Congo
30/04/2017;30293919;;96140398;Global;RD Congo
31/05/2017;30769342;;100826553;Global;RD Congo
30/06/2017;31298358;;103990668;Global;RD Congo
31/07/2017;31787808;;102896647;Global;RD Congo
31/08/2017;32169251;;100870730;Global;RD Congo
30/09/2017;33529508;;92967534;Global;RD Congo
31/10/2017;34987880;;100195614;Global;RD Congo
30/11/2017;35366547;;98232443;Global;RD Congo
31/12/2017;35366547;;106159598;Global;RD Congo
31/01/2018;35166799;;101707655;Global;RD Congo
28/02/2018;35430844;;95768511;Global;RD Congo
31/03/2018;35896672;;108360398;Global;RD Congo
30/04/2018;34717366;;104805607;Global;RD Congo
31/05/2018;35065628;;111150403;Global;RD Congo
30/06/2018;35423619;;110745087;Global;RD Congo
31/07/2018;35676222;;113269654;Global;RD Congo
31/08/2018;36062626;;114050751;Global;RD Congo
30/09/2018;36270268;;109811831;Global;RD Congo
31/10/2018;36493817;;112222476;Global;RD Congo
30/11/2018;36588037;;108798648;Global;RD Congo
31/12/2018;36470600;;118640271;Global;RD Congo
31/01/2019;35049762;;107158391;Global;RD Congo
28/02/2019;34918034;;102166531;Global;RD Congo
31/03/2019;34687500;;113984893;Global;RD Congo
30/04/2019;34734341;;112168057;Global;RD Congo
31/05/2019;34626496;;116501934;Global;RD Congo
30/06/2019;35048390;;116082035;Global;RD Congo
31/07/2019;35615633;;125844914;Global;RD Congo
31/08/2019;36065903;;129035151;Global;RD Congo
30/09/2019;36481836;;122209663;Global;RD Congo
31/10/2019;36776842;;126595378;Global;RD Congo
30/11/2019;36766159;;122536455;Global;RD Congo
31/12/2019;37123208;;130619656;Global;RD Congo
31/01/2020;37248354;;127030781;Global;RD Congo
29/02/2020;37713459;;121659802;Global;RD Congo
31/03/2020;38073115;;132995551;Global;RD Congo
30/04/2020;38085951;;114649733;Global;RD Congo
31/05/2020;38013634;;118694321;Global;RD Congo
30/06/2020;38545029;;115651642;Global;RD Congo
31/07/2020;39209513;;122866393;Global;RD Congo
31/08/2020;39641714;;127489230;Global;RD Congo
30/09/2020;39895672;;129069012;Global;RD Congo
31/10/2020;40103887;;134851923;Global;RD Congo
